Pitch,Time,TDRDF1,TDRDF2,TDRDF3,TDRDF4
3.3,0,99.18446198,99.47092084,98.87310217,99.28289716
3.3,0.05,100.1979385,100.3430595,99.94555322,100.1948017
3.3,0.1,101.1512278,101.315681,100.9578381,101.2035181
3.3,0.15,102.0553699,102.361338,102.0921057,102.2979987
3.3,0.2,103.049095,103.3027339,103.0325171,103.1765504
3.3,0.25,104.0300083,104.3551153,104.0043209,104.2078183
3.3,0.3,105.1157862,105.1337786,105.0210921,105.205022
3.3,0.35,106.066561,106.1588269,105.882977,106.0354585
3.3,0.4,106.8807535,106.9797069,106.8899752,106.9771535
3.3,0.45,107.9099986,107.839467,107.8459962,107.8294049
3.3,0.5,108.6988949,108.7437693,108.6236984,108.7333524
3.3,0.55,109.4337225,109.4622893,109.4287926,109.4748918
3.3,0.6,110.3464463,110.1624598,110.3209882,110.2221749
3.3,0.65,111.1551802,110.9170626,110.9762891,110.9347358
3.3,0.7,111.8138872,111.5838978,111.7381172,111.8135896
3.3,0.75,112.4003891,112.1325449,112.5346739,112.4570423
3.3,0.8,113.0019264,112.7646401,113.0978749,113.0421911
3.3,0.85,113.4954212,113.3749934,113.6377099,113.4691557
3.3,0.9,114.147431,113.7444489,114.2631983,114.0159797
3.3,0.95,114.4908876,114.182527,114.6436397,114.3860964
3.3,1,114.8790751,114.5080596,115.1313366,114.870796
3.3,1.05,115.2314312,114.8460584,115.4403956,115.1850169
3.3,1.1,115.6206685,115.2025285,115.7649336,115.5149586
3.3,1.15,115.8484289,115.4149666,115.990558,115.5749549
3.3,1.2,115.8573799,115.4430303,116.1587577,115.797196
3.3,1.25,116.0283654,115.6279801,116.3405083,115.9540241
3.3,1.3,116.080799,115.6693568,116.3037836,115.8633123
3.3,1.35,116.0551435,115.4838021,116.243364,115.9654593
3.3,1.4,116.0980294,115.4858376,116.3033475,115.8285486
3.3,1.45,115.7710494,115.2493723,116.0310297,115.7015261
3.3,1.5,115.6834378,115.0705413,115.8091912,115.484251
3.3,1.55,115.3929187,114.8244766,115.5711522,115.162764
3.3,1.6,115.1655861,114.5326625,115.2590545,114.8458556
3.3,1.65,114.7675964,114.0485014,115.0296632,114.3525165
3.3,1.7,114.2631586,113.6528057,114.4333495,114.0165611
3.3,1.75,113.6800393,113.1478621,113.9642705,113.5069999
3.3,1.8,113.2399117,112.5979091,113.518271,113.0352445
3.3,1.85,112.7299652,112.0210919,112.9497031,112.4536884
3.3,1.9,111.9579721,111.364924,112.31901,111.7616488
3.3,1.95,111.3760373,110.7733885,111.5983271,111.1205935
3.3,2,110.6299851,110.0947969,110.8526953,110.2557497
